"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","1-2 mo.","BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.000737179487179485,0.603848246067344,0.925363831206488
"Misame","1-2 mo.","BEP","up","18:2(9Z,12Z)",NA,-0.0337608989239424,0.603960073616381,0.925363831206488
"Misame","1-2 mo.","BEP","down","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0158562886570405,0.607177134449247,0.76140323303071
"Misame","1-2 mo.","BEP","down","13:0","Tridecylic Acid",-0.0168845866068088,0.607845424364231,0.76140323303071
"Misame","3-4 mo.","BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0154637492137492,0.610224266826486,0.841688643898601
"Elicit","1 mo.","Nico","up","13:0","Tridecylic Acid",0.0254125050693678,0.610285896695344,0.899944493020553
"Misame","1-2 mo.","BEP","down","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0938476030142697,0.612836748536913,0.76140323303071
"Misame","14-21 days","BEP","up","20:2n6","11,14-Eicosadienoic Acid",0.00834202548951378,0.619768043706213,0.847749714706454
"Misame","1-2 mo.","BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.00373868555686737,0.634405513624212,0.925363831206488
"Misame","14-21 days","BEP","up","20:3n6",NA,0.00640844427394134,0.635812286029841,0.847749714706454
"Elicit","1 mo.","Nico","up","20:3n6",NA,-0.00232927497603611,0.636623684187436,0.899944493020553
"Misame","1-2 mo.","BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.0152437021667791,0.647576255925286,0.925363831206488
"Elicit","1 mo.","Nico","up","22:0",NA,0.0210254472159234,0.654929314489312,0.899944493020553
"Vital","1.5 mo.","BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00471066882051731,0.661239103824051,0.942884784956782
"Vital","1.5 mo.","BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.00606272436681794,0.66401738544289,0.942884784956782
"Misame","1-2 mo.","BEP","up","15:0","Pentadecylic Acid",-0.0446844821844822,0.664284191797238,0.925363831206488
"Misame","3-4 mo.","BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0830102468337762,0.667011712485603,0.877876001460209
"Vital","1.5 mo.","BEP","up","22:3(10Z,13Z,16Z)",NA,-0.0142900517355452,0.669496583032936,0.942884784956782
"Elicit","1 mo.","Nico","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00243253991249179,0.669726134340877,0.899944493020553
"Misame","1-2 mo.","BEP","down","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.000244148777983365,0.680317793154244,0.820383221156589
"Misame","3-4 mo.","BEP","up","17:0","Margaric Acid",-0.0108119889369889,0.682858815862512,0.877876001460209
"Vital","1.5 mo.","BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.00396498257609369,0.685198515929599,0.942884784956782
"Vital","1.5 mo.","BEP","up","18:0",NA,0.000465462597133995,0.692312203660099,0.942884784956782
"Misame","3-4 mo.","BEP","down","13:0","Tridecylic Acid",-0.00498837582170915,0.693993535708909,0.84305645628716
"Misame","1-2 mo.","BEP","up","22:1(11Z)",NA,-0.00685826519159852,0.697333674046991,0.925363831206488
"Misame","3-4 mo.","BEP","up","15:0","Pentadecylic Acid",-0.0163470643939394,0.702300801168167,0.877876001460209
"Misame","1-2 mo.","BEP","up","17:1(9Z)",NA,-0.0263943001443002,0.708397899142638,0.925363831206488
"Misame","14-21 days","BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00386779673649396,0.712828681553085,0.87644360838824
"Vital","1.5 mo.","BEP","up","12:0","Lauric Acid",-0.00384603018813545,0.714918440372826,0.942884784956782
