"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (3-4 mo.)","IFA/BEP","down","Cysteine Metabolism",2,1,0.0423,0.0419,0.513
"Misame (3-4 mo.)","IFA/BEP","down","Taurine and Hypotaurine Metabolism",2,1,0.0423,0.0419,0.513
"Misame (3-4 mo.)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.0634,0.0622,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Fatty Acid Biosynthesis",3,1,0.0634,0.0622,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Catecholamine Biosynthesis",4,1,0.0846,0.0821,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Glutathione Metabolism",4,1,0.0846,0.0821,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Arachidonic Acid Metabolism",4,1,0.0846,0.0821,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Betaine Metabolism",4,1,0.0846,0.0821,0.575
"Misame (3-4 mo.)","IFA/BEP","down","Glutamate Metabolism",8,1,0.169,0.158,1
"Misame (3-4 mo.)","IFA/BEP","down","Arginine and Proline Metabolism",10,1,0.211,0.194,1
"Misame (3-4 mo.)","IFA/BEP","up","Tryptophan Metabolism",6,1,0.00976,0.00976,0.956
"Vital (1.5 mo.)","BEP+ExBf","down","Methionine Metabolism",11,2,0.0894,0.00283,0.195
"Vital (1.5 mo.)","BEP+ExBf","down","Glycine and Serine Metabolism",13,2,0.106,0.00398,0.195
"Vital (1.5 mo.)","BEP+ExBf","down","Homocysteine Degradation",3,1,0.0244,0.0242,0.631
"Vital (1.5 mo.)","BEP+ExBf","down","Catecholamine Biosynthesis",4,1,0.0325,0.0322,0.631
"Vital (1.5 mo.)","BEP+ExBf","down","Betaine Metabolism",4,1,0.0325,0.0322,0.631
"Vital (1.5 mo.)","BEP+ExBf","up","Urea Cycle",7,3,0.182,0.000476,0.0467
"Vital (1.5 mo.)","BEP+ExBf","up","Tryptophan Metabolism",6,2,0.156,0.00897,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling",7,2,0.182,0.0124,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Aspartate Metabolism",8,2,0.208,0.0162,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Glutamate Metabolism",8,2,0.208,0.0162,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Phenylacetate Metabolism",1,1,0.026,0.026,0.425
"Vital (1.5 mo.)","BEP+ExBf","up","Selenoamino Acid Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Pyrimidine Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Nicotinate and Nicotinamide Metabolism",2,1,0.052,0.0514,0.504
