study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,1-2 mo.,BEP/BEP,up,Aspartate Metabolism,7,0.462,1,0.389,1,2.1645021645021645
Mumta-LW,2 mo.,BEP+ExBf,up,Urea Cycle,7,0.462,1,0.389,1,2.1645021645021645
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Urea Cycle,7,0.462,1,0.389,1,2.1645021645021645
Mumta-LW,1.5 mo.,BEP+ExBf,up,Propanoate Metabolism,3,0.453,1,0.391,1,2.2075055187637966
Mumta-LW,1.5 mo.,BEP+ExBf,up,Lysine Degradation,3,0.453,1,0.391,1,2.2075055187637966
Mumta-LW,1.5 mo.,BEP+ExBf,up,Alanine Metabolism,3,0.453,1,0.391,1,2.2075055187637966
MISAME-III,1-2 mo.,BEP/IFA,up,Bile Acid Biosynthesis,10,0.472,1,0.397,1,2.1186440677966103
ELICIT,5 mo.,Az.,down,"Valine, Leucine and Isoleucine Degradation",5,0.472,1,0.397,1,-2.1186440677966103
MISAME-III,1-2 mo.,BEP/IFA,down,Tyrosine Metabolism,3,0.481,1,0.411,1,-2.079002079002079
MISAME-III,1-2 mo.,BEP/IFA,down,Sphingolipid Metabolism,3,0.481,1,0.411,1,-2.079002079002079
MISAME-III,1-2 mo.,BEP/IFA,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.481,1,0.411,1,-2.079002079002079
MISAME-III,1-2 mo.,BEP/IFA,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.481,1,0.411,1,-2.079002079002079
MISAME-III,3-4 mo.,IFA/BEP,down,Glutathione Metabolism,4,0.491,1,0.412,1,-2.0366598778004072
ELICIT,1 mo.,Nico+Az.,down,Oxidation of Branched Chain Fatty Acids,4,0.491,1,0.412,1,-2.0366598778004072
ELICIT,1 mo.,Nico+Az.,down,Warburg Effect,4,0.491,1,0.412,1,-2.0366598778004072
MISAME-III,1-2 mo.,IFA/BEP,down,Catecholamine Biosynthesis,2,0.472,1,0.418,1,-2.1186440677966103
MISAME-III,1-2 mo.,IFA/BEP,down,Arachidonic Acid Metabolism,2,0.472,1,0.418,1,-2.1186440677966103
