study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,1.5 mo.,BEP+ExBf,up,Tryptophan Metabolism,6,0.156,2,0.00897,0.318,12.820512820512821
MISAME-III,14-21 days,IFA/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.163,2,0.00948,0.133,-12.269938650306749
MISAME-III,14-21 days,IFA/BEP,down,Carnitine Synthesis,5,0.163,2,0.00948,0.133,-12.269938650306749
MISAME-III,14-21 days,IFA/BEP,down,Warburg Effect,5,0.163,2,0.00948,0.133,-12.269938650306749
MISAME-III,3-4 mo.,BEP/IFA,up,Citric Acid Cycle,2,0.00976,1,0.00974,0.191,102.45901639344262
MISAME-III,3-4 mo.,IFA/BEP,up,Tryptophan Metabolism,6,0.00976,1,0.00976,0.956,102.45901639344262
MISAME-III,14-21 days,BEP/BEP,down,Methionine Metabolism,11,0.161,2,0.00979,0.192,-12.422360248447205
ELICIT,5 mo.,Az.,down,Arginine and Proline Metabolism,10,0.163,2,0.01,0.163,-12.269938650306749
ELICIT,5 mo.,Nico,down,Bile Acid Biosynthesis,15,0.171,2,0.0109,1,-11.695906432748536
MISAME-III,3-4 mo.,BEP/BEP,up,Beta-Alanine Metabolism,7,0.0114,1,0.0114,0.255,87.71929824561403
ELICIT,5 mo.,Az.,down,Methionine Metabolism,11,0.179,2,0.0121,0.17,-11.1731843575419
Mumta-LW,1.5 mo.,BEP+ExBf,up,Ammonia Recycling,7,0.182,2,0.0124,0.318,10.989010989010989
MISAME-III,14-21 days,BEP/IFA,down,Citric Acid Cycle,2,0.013,1,0.013,0.159,-76.92307692307692
MISAME-III,14-21 days,BEP/IFA,down,Pyruvate Metabolism,2,0.013,1,0.013,0.159,-76.92307692307692
MISAME-III,14-21 days,BEP/IFA,down,Gluconeogenesis,2,0.013,1,0.013,0.159,-76.92307692307692
MISAME-III,3-4 mo.,BEP/BEP,up,Histidine Metabolism,8,0.013,1,0.013,0.255,76.92307692307692
MISAME-III,3-4 mo.,BEP/BEP,up,Aspartate Metabolism,8,0.013,1,0.013,0.255,76.92307692307692
ELICIT,1 mo.,Nico,down,Ketone Body Metabolism,1,0.013,1,0.013,0.255,-76.92307692307692
ELICIT,1 mo.,Nico,down,Butyrate Metabolism,1,0.013,1,0.013,0.255,-76.92307692307692
ELICIT,1 mo.,Nico,down,Mitochondrial Electron Transport Chain,1,0.013,1,0.013,0.255,-76.92307692307692
ELICIT,1 mo.,Nico,down,Phytanic Acid Peroxisomal Oxidation,1,0.013,1,0.013,0.255,-76.92307692307692
ELICIT,5 mo.,Nico+Az.,down,Fatty acid Metabolism,2,0.013,1,0.013,0.381,-76.92307692307692
ELICIT,1 mo.,Az.,down,Arginine and Proline Metabolism,10,0.195,2,0.0144,0.239,-10.256410256410255
MISAME-III,14-21 days,BEP/BEP,down,Pantothenate and CoA Biosynthesis,1,0.0146,1,0.0146,0.205,-68.4931506849315
MISAME-III,14-21 days,BEP/BEP,down,Threonine and 2-Oxobutanoate Degradation,1,0.0146,1,0.0146,0.205,-68.4931506849315
MISAME-III,3-4 mo.,BEP/IFA,up,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.0146,1,0.0146,0.237,68.4931506849315
ELICIT,1 mo.,Az.,up,Homocysteine Degradation,3,0.0146,1,0.0146,0.634,68.4931506849315
MISAME-III,1-2 mo.,IFA/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.203,2,0.0147,0.722,-9.852216748768472
MISAME-III,14-21 days,BEP/IFA,up,Pyrimidine Metabolism,2,0.0163,1,0.0162,0.297,61.34969325153375
MISAME-III,14-21 days,BEP/IFA,up,Fatty acid Metabolism,2,0.0163,1,0.0162,0.297,61.34969325153375
MISAME-III,14-21 days,BEP/IFA,up,Steroidogenesis,2,0.0163,1,0.0162,0.297,61.34969325153375
MISAME-III,14-21 days,BEP/IFA,up,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,2,0.0163,1,0.0162,0.297,61.34969325153375
MISAME-III,1-2 mo.,BEP/IFA,up,Taurine and Hypotaurine Metabolism,2,0.0163,1,0.0162,0.318,61.34969325153375
MISAME-III,1-2 mo.,BEP/IFA,up,Pyrimidine Metabolism,2,0.0163,1,0.0162,0.318,61.34969325153375
MISAME-III,1-2 mo.,BEP/IFA,up,Methylhistidine Metabolism,2,0.0163,1,0.0162,0.318,61.34969325153375
Mumta-LW,1.5 mo.,BEP+ExBf,up,Aspartate Metabolism,8,0.208,2,0.0162,0.318,9.615384615384615
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glutamate Metabolism,8,0.208,2,0.0162,0.318,9.615384615384615
ELICIT,5 mo.,Az.,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.0163,1,0.0162,0.397,61.34969325153375
ELICIT,5 mo.,Az.,up,Galactose Metabolism,5,0.0163,1,0.0162,0.397,61.34969325153375
ELICIT,5 mo.,Az.,down,Porphyrin Metabolism,1,0.0163,1,0.0163,0.184,-61.34969325153375
ELICIT,5 mo.,Az.,down,Glycine and Serine Metabolism,13,0.211,2,0.0169,0.184,-9.47867298578199
ELICIT,1 mo.,Az.,down,Methionine Metabolism,11,0.215,2,0.0174,0.239,-9.30232558139535
MISAME-III,1-2 mo.,BEP/IFA,down,Glutamate Metabolism,8,0.221,2,0.0183,0.31,-9.049773755656108
MISAME-III,14-21 days,IFA/BEP,down,Ammonia Recycling,7,0.228,2,0.0191,0.199,-8.771929824561402
MISAME-III,3-4 mo.,BEP/IFA,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0195,1,0.0194,0.634,-51.282051282051285
MISAME-III,3-4 mo.,BEP/IFA,down,Fatty Acid Biosynthesis,3,0.0195,1,0.0194,0.634,-51.282051282051285
MISAME-III,3-4 mo.,BEP/IFA,up,Oxidation of Branched Chain Fatty Acids,4,0.0195,1,0.0194,0.237,51.282051282051285
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Pyruvate Metabolism,2,0.0195,1,0.0194,0.756,-51.282051282051285
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Gluconeogenesis,2,0.0195,1,0.0194,0.756,-51.282051282051285
ELICIT,1 mo.,Az.,up,Catecholamine Biosynthesis,4,0.0195,1,0.0194,0.634,51.282051282051285
ELICIT,1 mo.,Az.,up,Betaine Metabolism,4,0.0195,1,0.0194,0.634,51.282051282051285
ELICIT,5 mo.,Nico+Az.,down,Glycerolipid Metabolism,3,0.0195,1,0.0194,0.381,-51.282051282051285
ELICIT,5 mo.,Nico+Az.,down,Fatty Acid Biosynthesis,3,0.0195,1,0.0194,0.381,-51.282051282051285
ELICIT,1 mo.,Az.,down,Ketone Body Metabolism,1,0.0195,1,0.0195,0.239,-51.282051282051285
ELICIT,1 mo.,Az.,down,Butyrate Metabolism,1,0.0195,1,0.0195,0.239,-51.282051282051285
ELICIT,1 mo.,Az.,down,Mitochondrial Electron Transport Chain,1,0.0195,1,0.0195,0.239,-51.282051282051285
ELICIT,1 mo.,Az.,down,Phytanic Acid Peroxisomal Oxidation,1,0.0195,1,0.0195,0.239,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Porphyrin Metabolism,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Pantothenate and CoA Biosynthesis,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Ketone Body Metabolism,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Butyrate Metabolism,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Mitochondrial Electron Transport Chain,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Phytanic Acid Peroxisomal Oxidation,1,0.0195,1,0.0195,0.12,-51.282051282051285
ELICIT,1 mo.,Nico+Az.,down,Phosphatidylcholine Biosynthesis,1,0.0195,1,0.0195,0.12,-51.282051282051285
MISAME-III,3-4 mo.,IFA/BEP,down,Pantothenate and CoA Biosynthesis,1,0.0211,1,0.0211,0.345,-47.39336492890995
MISAME-III,3-4 mo.,IFA/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0211,1,0.0211,0.345,-47.39336492890995
ELICIT,5 mo.,Az.,down,Bile Acid Biosynthesis,15,0.244,2,0.0223,0.219,-8.19672131147541
MISAME-III,1-2 mo.,BEP/BEP,up,Taurine and Hypotaurine Metabolism,2,0.0228,1,0.0227,0.37,43.859649122807014
MISAME-III,1-2 mo.,BEP/BEP,up,Pyrimidine Metabolism,2,0.0228,1,0.0227,0.37,43.859649122807014
MISAME-III,1-2 mo.,BEP/BEP,up,Methylhistidine Metabolism,2,0.0228,1,0.0227,0.37,43.859649122807014
Mumta-LW,2 mo.,BEP+ExBf,up,Selenoamino Acid Metabolism,2,0.0228,1,0.0227,0.628,43.859649122807014
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Selenoamino Acid Metabolism,2,0.0228,1,0.0227,0.816,43.859649122807014
ELICIT,5 mo.,Az.,up,Sphingolipid Metabolism,7,0.0228,1,0.0227,0.444,43.859649122807014
ELICIT,5 mo.,Nico,down,Taurine and Hypotaurine Metabolism,2,0.0228,1,0.0227,1,-43.859649122807014
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Steroid Biosynthesis,1,0.0228,1,0.0228,0.446,-43.859649122807014
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Fatty Acid Elongation In Mitochondria,1,0.0228,1,0.0228,0.446,-43.859649122807014
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0228,1,0.0228,0.446,-43.859649122807014
MISAME-III,14-21 days,BEP/IFA,up,Propanoate Metabolism,3,0.0244,1,0.0242,0.297,40.983606557377044
MISAME-III,14-21 days,BEP/IFA,up,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0244,1,0.0242,0.297,40.983606557377044
MISAME-III,14-21 days,BEP/IFA,up,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.0244,1,0.0242,0.297,40.983606557377044
MISAME-III,1-2 mo.,BEP/IFA,up,Propanoate Metabolism,3,0.0244,1,0.0242,0.396,40.983606557377044
MISAME-III,3-4 mo.,BEP/IFA,up,"Valine, Leucine and Isoleucine Degradation",5,0.0244,1,0.0242,0.237,40.983606557377044
MISAME-III,3-4 mo.,BEP/IFA,up,Carnitine Synthesis,5,0.0244,1,0.0242,0.237,40.983606557377044
MISAME-III,3-4 mo.,BEP/IFA,up,Warburg Effect,5,0.0244,1,0.0242,0.237,40.983606557377044
