Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Arachidonic acid metabolism,7,14,-0.5,0.0131081421729266,0.222838416939753,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Fatty acid activation,18,54,-0.333,0.0131081421729266,0.194983614822284,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tryptophan metabolism,10,32,0.312,0.0131921687253172,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Glycolysis and Gluconeogenesis,25,83,-0.301,0.0131921687253172,0.385681875472649,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Purine metabolism,7,29,0.241,0.0132761952777078,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Leukotriene metabolism,12,28,-0.429,0.0132761952777078,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Pyruvate Metabolism,15,50,0.3,0.0133602218300983,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Prostaglandin formation from arachidonate,14,46,-0.304,0.0135282749348794,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Aspartate and asparagine metabolism,8,25,-0.32,0.0135282749348794,0.22998067389295,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.01361230148727,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Arachidonic acid metabolism,5,12,-0.417,0.01361230148727,0.25569279892446,ELICIT,5 mo.,Az.,Downregulated,Positive
D4&E4-neuroprostanes formation,2,2,-1,0.01361230148727,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Alkaloid biosynthesis II,6,13,-0.462,0.0137803545920511,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Ubiquinone Biosynthesis,8,20,0.4,0.0137803545920511,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin B9 (folate) metabolism,6,14,-0.429,0.0137803545920511,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Omega-6 fatty acid metabolism,5,8,-0.625,0.0142845139063944,0.279976472565331,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
