"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"669","PN_CHC_12","pn_chc_12",905,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"773","PN_COEDEMA_1","pn_coedema_1",906,"Infant oedema","MISAME3_WIDE","Post Natal FU M01","CETERM",NA,"Child",275,"no"
"775","PN_COEDEMA_2","pn_coedema_2",907,"Infant oedema","MISAME3_WIDE","Post Natal FU M02","CETERM",NA,"Child",276,"no"
"776","PN_COEDEMA_3","pn_coedema_3",908,"Infant oedema","MISAME3_WIDE","Post Natal FU M03","CETERM",NA,"Child",265,"no"
"777","PN_COEDEMA_4","pn_coedema_4",909,"Infant oedema","MISAME3_WIDE","Post Natal FU M04","CETERM",NA,"Child",279,"no"
"778","PN_COEDEMA_5","pn_coedema_5",910,"Infant oedema","MISAME3_WIDE","Post Natal FU M05","CETERM",NA,"Child",267,"no"
"779","PN_COEDEMA_6","pn_coedema_6",911,"Infant oedema","MISAME3_WIDE","Post Natal FU M06","CETERM",NA,"Child",275,"no"
"780","PN_COEDEMA_9","pn_coedema_9",912,"Infant oedema","MISAME3_WIDE","Post Natal FU M09","CETERM",NA,"Child",168,"no"
"774","PN_COEDEMA_12","pn_coedema_12",913,"Infant oedema","MISAME3_WIDE","Post Natal FU M12","CETERM",NA,"Child",0,"missing"
"798","PN_CTREAT_AM_1","pn_ctreat_am_1",914,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"800","PN_CTREAT_AM_2","pn_ctreat_am_2",915,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,276,"missing"
"801","PN_CTREAT_AM_3","pn_ctreat_am_3",916,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,265,"missing"
"802","PN_CTREAT_AM_4","pn_ctreat_am_4",917,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,279,"missing"
"803","PN_CTREAT_AM_5","pn_ctreat_am_5",918,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,267,"missing"
"804","PN_CTREAT_AM_6","pn_ctreat_am_6",919,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"805","PN_CTREAT_AM_9","pn_ctreat_am_9",920,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,168,"missing"
"799","PN_CTREAT_AM_12","pn_ctreat_am_12",921,"Infant treated for acute malnutrition","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"732","PN_CHEMOGLOBIN_6","pn_chemoglobin_6",922,"Infant hemoglobine at 6 mo","MISAME3_WIDE","Post Natal FU M06","LBSTRESN","HGB","Child",269,"yes"
"658","PN_CANEMIA_6","pn_canemia_6",923,"Infant anemia at 6 mo","MISAME3_WIDE",NA,NA,NA,NA,269,"missing"
"659","PN_CANEMIA_DEGREE_6","pn_canemia_degree_6",924,"Infant severe anemia at 6 mo","MISAME3_WIDE","Post Natal FU M06","CETERM",NA,"Child",269,"no"
"626","PN_BF_1","pn_bf_1",925,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M01","BFEDFL",NA,NA,275,"yes"
"634","PN_BF_FREQ_1","pn_bf_freq_1",926,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M01","NUMBF",NA,NA,275,"no"
"628","PN_BF_2","pn_bf_2",927,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M02","BFEDFL",NA,NA,276,"yes"
"636","PN_BF_FREQ_2","pn_bf_freq_2",928,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M02","NUMBF",NA,NA,276,"no"
"629","PN_BF_3","pn_bf_3",929,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M03","BFEDFL",NA,NA,265,"yes"
"637","PN_BF_FREQ_3","pn_bf_freq_3",930,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M03","NUMBF",NA,NA,265,"no"
"630","PN_BF_4","pn_bf_4",931,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M04","BFEDFL",NA,NA,279,"yes"
"638","PN_BF_FREQ_4","pn_bf_freq_4",932,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M04","NUMBF",NA,NA,279,"no"
"631","PN_BF_5","pn_bf_5",933,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M05","BFEDFL",NA,NA,267,"yes"
"639","PN_BF_FREQ_5","pn_bf_freq_5",934,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M05","NUMBF",NA,NA,267,"no"
